respondent_id,company_size,tech_company,benefits,mh_options_known,boss_mh_discuss,resources,anonymity_protected,leave_easy,bad_conseq_mh_boss,bad_conseq_ph_boss,mh_comfort_coworkers,mh_comfort_supervisor,mh_ph_boss_serious,observed_mhdcoworker_bad_conseq,prev_boss,prev_benefits,prev_mh_options_known,prev_boss_mh_discuss,prev_resources,prev_anonymity_protected,bad_conseq_mh_prev_boss,bad_conseq_ph_prev_boss,mh_comfort_prev_coworkers,mh_comfort_prev_supervisor,mh_ph_prev_boss_serious,prev_observed_bad_conseq_mh,ph_interview,mh_interview,friends_family_mhd_comfort,ever_observed_mhd_bad_response,mhdcoworker_you_not_reveal,mh_family_history,remote_work
247,100-500,1,I don't know,No,No,No,I don't know,I don't know,Yes,Yes,No,No,I don't know,0,1,Some did,I was aware of some,Some did,Some did,I don't know,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,No,Somewhat open,No,Not applicable,Yes,Sometimes
248,100-500,1,No,Not applicable,No,No,I don't know,Very easy,No,No,Maybe,Maybe,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,No,Somewhat open,No,Not applicable,Yes,Sometimes
249,More than 1000,1,Yes,I am not sure,No,No,Yes,Very easy,No,No,Maybe,Maybe,Yes,0,1,Some did,I was aware of some,Some did,"Yes, they all did","Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Very open,"Yes, I experienced",Yes,Yes,Sometimes
250,100-500,0,Yes,I am not sure,Yes,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,0,1,"No, none did",I was aware of some,None did,None did,No,"Yes, all of them","Yes, all of them",Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",Yes,Yes,Very open,"Yes, I experienced",No,Yes,Sometimes
251,More than 1000,0,I don't know,No,No,No,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,No,No,Neutral,"Yes, I observed",No response,No,Sometimes
252,6-25,1,Not eligible for coverage / N/A,Not applicable,No,No,No,Somewhat difficult,No,No,No,Yes,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,Maybe,Not applicable to me (I do not have a mental illness),Maybe/Not sure,Maybe,I don't know,Never
253,500-1000,1,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them",Some of my previous employers,I don't know,None did,Some of them,Maybe,Maybe,Very open,"Yes, I experienced",Yes,Yes,Always
254,More than 1000,0,Not eligible for coverage / N/A,Not applicable,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,No,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,"Yes, all of them",Maybe,Maybe,Somewhat open,"Yes, I observed",No,Yes,Sometimes
255,1-5,0,No,Not applicable,No,No,I don't know,Very difficult,Maybe,Maybe,Maybe,Maybe,No,1,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Maybe,Neutral,"Yes, I observed",Yes,No,Sometimes
256,100-500,1,I don't know,I am not sure,No,I don't know,Yes,I don't know,Maybe,No,Maybe,Maybe,I don't know,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Not applicable to me (I do not have a mental illness),Maybe/Not sure,No response,No,Always
257,1-5,1,No,Not applicable,I don't know,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,Yes,0,1,Some did,N/A (not currently aware),None did,None did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Somewhat not open,No,Not applicable,Yes,Never
258,500-1000,1,I don't know,No,No,I don't know,I don't know,Very easy,No,No,Maybe,Maybe,Yes,0,1,"No, none did","No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Very open,Maybe/Not sure,No,No,Sometimes
259,6-25,1,I don't know,No,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,Yes,0,1,Some did,I was aware of some,Some did,Some did,Sometimes,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,Somewhat open,Maybe/Not sure,No,Yes,Never
260,100-500,1,Yes,I am not sure,Yes,No,I don't know,Very easy,No,No,Maybe,Maybe,Yes,0,1,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did",Some did,Sometimes,"Yes, all of them",Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,No,No,Somewhat open,No,Not applicable,No,Sometimes
261,6-25,1,Not eligible for coverage / N/A,Not applicable,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,Yes,0,1,"Yes, they all did",N/A (not currently aware),None did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,No,Not open at all,No,Not applicable,Yes,Always
262,26-100,1,No,Not applicable,Yes,No,Yes,Very easy,No,No,Maybe,Yes,Yes,0,1,"No, none did",N/A (not currently aware),None did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,No,Somewhat open,Maybe/Not sure,No,No,Sometimes
263,26-100,0,I don't know,No,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,0,1,I don't know,"No, I only became aware later",None did,Some did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",Some did,None of them,Yes,Maybe,Very open,No,Not applicable,No,Sometimes
264,26-100,1,Yes,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,Yes,0,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Maybe,No,Somewhat open,No,Not applicable,Yes,Sometimes
265,6-25,1,I don't know,I am not sure,No,No,Yes,Very easy,No,No,Maybe,Yes,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,Somewhat open,No,Not applicable,Yes,Sometimes
266,100-500,1,Yes,Yes,No,No,I don't know,I don't know,Maybe,Maybe,Yes,Maybe,I don't know,0,1,Some did,I was aware of some,Some did,Some did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Somewhat open,No,Not applicable,Yes,Never
267,6-25,1,I don't know,I am not sure,No,I don't know,I don't know,Very difficult,Maybe,Maybe,Maybe,No,I don't know,1,1,Some did,I was aware of some,Some did,Some did,"Yes, always","Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,No,Somewhat open,Maybe/Not sure,Maybe,No,Never
268,26-100,1,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them","No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Never
269,6-25,1,Yes,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,Yes,Yes,Yes,0,1,"Yes, they all did",I was aware of some,Some did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,Very open,No,Not applicable,Yes,Sometimes
270,6-25,1,Yes,Yes,No,No,I don't know,Neither easy nor difficult,No,No,Yes,Yes,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",Some did,None of them,Maybe,Maybe,Very open,"Yes, I observed",No,Yes,Sometimes
271,26-100,1,I don't know,I am not sure,No,I don't know,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,0,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,No,Somewhat not open,Maybe/Not sure,No response,Yes,Never
272,6-25,1,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,0,1,Some did,"Yes, I was aware of all of them",Some did,Some did,Sometimes,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,Some of them,Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,No,Sometimes
273,6-25,1,Yes,No,Yes,No,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,None did,None of them,No,No,Somewhat open,Maybe/Not sure,Maybe,No,Never
274,100-500,1,Not eligible for coverage / N/A,Not applicable,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,No,I don't know,0,1,"No, none did","No, I only became aware later",None did,None did,No,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Yes,No,Somewhat not open,Maybe/Not sure,No,Yes,Always
275,26-100,1,No,Not applicable,No,No,I don't know,Somewhat difficult,Yes,Maybe,No,No,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Maybe,Neutral,No response,No response,Yes,Never
276,26-100,0,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,No,Maybe,Yes,I don't know,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",Some did,None of them,No,No,Somewhat open,No,Not applicable,No,Sometimes
277,26-100,1,Yes,I am not sure,No,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,0,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Yes,No,Somewhat not open,"Yes, I experienced",No response,I don't know,Sometimes
278,26-100,1,Yes,No,No,No,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,I don't know,0,1,"Yes, they all did","No, I only became aware later",Some did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,Somewhat not open,No,Not applicable,I don't know,Never
279,500-1000,1,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Yes,Maybe,Yes,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Maybe,Somewhat open,No,Not applicable,Yes,Always
280,6-25,1,Not eligible for coverage / N/A,Not applicable,Yes,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,0,1,I don't know,N/A (not currently aware),Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Maybe,Very open,Maybe/Not sure,No,Yes,Always
281,More than 1000,1,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,No,0,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Yes,Somewhat not open,"Yes, I observed",Maybe,Yes,Always
282,26-100,1,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Maybe,Somewhat open,No response,No response,No,Sometimes
283,26-100,1,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,0,1,Some did,N/A (not currently aware),I don't know,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,Maybe,Maybe,Somewhat open,"Yes, I experienced",No,Yes,Sometimes
284,1-5,1,Yes,Yes,No,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Very open,No,Not applicable,No,Sometimes
285,26-100,1,No,Not applicable,No,No,I don't know,Somewhat difficult,No,No,Maybe,Maybe,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Yes,Yes,Somewhat open,"Yes, I observed",Maybe,No,Sometimes
286,6-25,1,No,Not applicable,No,No,I don't know,Very easy,No,No,Yes,Yes,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,No,Somewhat open,"Yes, I experienced",No,No,Never
287,100-500,1,I don't know,No,No,No,I don't know,Very easy,No,No,No,No,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,No,No,Somewhat not open,Maybe/Not sure,No,No,Never
288,100-500,1,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,0,1,Some did,"Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Yes,Yes,Somewhat open,Maybe/Not sure,No,Yes,Always
289,More than 1000,0,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,No,No,Yes,No,0,1,"No, none did","No, I only became aware later",None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers",I don't know,None did,None of them,Maybe,No,Somewhat not open,"Yes, I experienced",Yes,I don't know,Always
290,More than 1000,1,No,Not applicable,No,No,No,Somewhat easy,Maybe,No,No,No,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Maybe,Somewhat open,No response,No response,I don't know,Never
291,6-25,1,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,0,1,I don't know,N/A (not currently aware),Some did,Some did,Sometimes,None of them,None of them,Some of my previous employers,Some of my previous employers,"Yes, they all did",None of them,Maybe,Maybe,Somewhat open,No,Not applicable,I don't know,Never
292,26-100,1,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,Maybe,Somewhat open,No,Not applicable,Yes,Sometimes
